genre_id,igdb_genre_id,rawg_genre_id,name
1,34,,Visual Novel
2,5,2,Shooter
3,15,10,Strategy
4,13,,Simulator
6,32,51,Indie
7,31,3,Adventure
10,8,,Platform
12,14,,Sport
13,2,,Point-and-click
16,9,7,Puzzle
18,26,,Quiz/Trivia
23,33,11,Arcade
30,12,,Role-playing (RPG)
37,7,,Music
43,4,6,Fighting
48,10,1,Racing
54,16,,Turn-based strategy (TBS)
55,24,,Tactical
86,11,,Real Time Strategy (RTS)
97,25,,Hack and slash/Beat 'em up
179,35,,Card & Board Game
265,36,,MOBA
329,30,,Pinball
753,,4,Action
755,,5,RPG
783,,83,Platformer
802,,59,Massively Multiplayer
803,,15,Sports
840,,14,Simulation
886,,40,Casual
